,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
40,54.0,5,1,1,0,529.0,1,0,2,5,8,1492,1,0,0,3,0
41,58.0,5,1,3,0,96.0,1,0,2,5,8,616,1,0,0,3,0
42,36.0,0,2,0,0,-171.0,1,0,2,5,8,242,1,0,0,3,0
43,58.0,6,1,2,0,-364.0,1,0,2,5,8,355,1,0,0,3,0
44,44.0,9,1,1,0,0.0,1,0,2,5,8,225,2,0,0,3,0
45,55.0,9,0,1,0,0.0,0,0,2,5,8,160,1,0,0,3,0
46,29.0,4,2,2,0,0.0,1,0,2,5,8,363,1,0,0,3,0
47,54.0,1,1,1,0,1291.0,1,0,2,5,8,266,1,0,0,3,0
48,48.0,4,0,2,0,-244.0,1,0,2,5,8,253,1,0,0,3,0
49,32.0,4,1,2,0,0.0,1,0,2,5,8,179,1,0,0,3,0
50,53.0,9,0,1,0,989.0,1,0,2,5,8,812,1,0,0,3,0
51,57.0,1,1,0,0,249.0,1,0,2,5,8,164,1,0,0,3,0
52,33.0,7,1,1,0,790.0,1,0,2,5,8,391,1,0,0,3,0
53,49.0,1,1,3,0,154.0,1,0,2,5,8,357,1,0,0,3,0
54,51.0,4,1,2,0,6530.0,1,0,2,5,8,91,1,0,0,3,0
55,60.0,5,1,2,0,100.0,0,0,2,5,8,528,1,0,0,3,0
56,59.0,4,0,2,0,59.0,1,0,2,5,8,273,1,0,0,3,0
57,55.0,9,1,1,0,1205.0,1,0,2,5,8,158,2,0,0,3,0
58,35.0,1,2,1,0,12223.0,1,1,2,5,8,177,1,0,0,3,0
59,57.0,1,1,1,0,5935.0,1,1,2,5,8,258,1,0,0,3,0
60,31.0,7,1,1,0,25.0,1,1,2,5,8,172,1,0,0,3,0
61,54.0,4,1,1,0,282.0,1,1,2,5,8,154,1,0,0,3,0
62,55.0,1,1,0,0,23.0,1,0,2,5,8,291,1,0,0,3,0
63,43.0,9,1,1,0,1937.0,1,0,2,5,8,181,1,0,0,3,0
64,53.0,9,1,1,0,384.0,1,0,2,5,8,176,1,0,0,3,0
65,44.0,1,1,1,0,582.0,0,1,2,5,8,211,1,0,0,3,0
66,55.0,7,0,1,0,91.0,0,0,2,5,8,349,1,0,0,3,0
67,49.0,7,0,1,0,0.0,1,1,2,5,8,272,1,0,0,3,0
68,55.0,7,0,1,1,1.0,1,0,2,5,8,208,1,0,0,3,0
69,45.0,0,2,1,0,206.0,1,0,2,5,8,193,1,0,0,3,0
70,47.0,7,0,1,0,164.0,0,0,2,5,8,212,1,0,0,3,0
71,42.0,9,2,1,0,690.0,1,0,2,5,8,20,1,0,0,3,0
72,59.0,0,1,1,0,2343.0,1,0,2,5,8,1042,1,0,0,3,1
73,46.0,6,1,2,0,137.0,1,1,2,5,8,246,1,0,0,3,0
74,51.0,1,1,0,0,173.0,1,0,2,5,8,529,2,0,0,3,0
75,56.0,0,1,1,0,45.0,0,0,2,5,8,1467,1,0,0,3,1
76,41.0,9,1,1,0,1270.0,1,0,2,5,8,1389,1,0,0,3,1
77,46.0,4,0,1,0,16.0,1,1,2,5,8,188,2,0,0,3,0
78,57.0,5,1,1,0,486.0,1,0,2,5,8,180,2,0,0,3,0
79,42.0,4,2,1,0,50.0,0,0,2,5,8,48,1,0,0,3,0
80,30.0,9,1,1,0,152.0,1,1,2,5,8,213,2,0,0,3,0
81,60.0,0,1,1,0,290.0,1,0,2,5,8,583,1,0,0,3,0
82,60.0,1,1,3,0,54.0,1,0,2,5,8,221,1,0,0,3,0
83,57.0,2,0,1,0,-37.0,0,0,2,5,8,173,1,0,0,3,0
84,36.0,4,1,2,0,101.0,1,1,2,5,8,426,1,0,0,3,0
85,55.0,1,1,1,0,383.0,0,0,2,5,8,287,1,0,0,3,0
86,60.0,5,1,2,0,81.0,1,0,2,5,8,101,1,0,0,3,0
87,39.0,9,1,1,0,0.0,1,0,2,5,8,203,1,0,0,3,0
88,46.0,4,1,2,0,229.0,1,0,2,5,8,197,1,0,0,3,0
89,44.0,1,1,1,0,-674.0,1,0,2,5,8,257,1,0,0,3,0
90,53.0,1,1,0,0,90.0,0,0,2,5,8,124,1,0,0,3,0
91,52.0,1,1,0,0,128.0,1,0,2,5,8,229,1,0,0,3,0
92,59.0,1,1,0,0,179.0,1,0,2,5,8,55,3,0,0,3,0
93,27.0,9,2,2,0,0.0,1,0,2,5,8,400,1,0,0,3,0
94,44.0,1,1,1,0,54.0,1,0,2,5,8,197,1,0,0,3,0
95,47.0,9,1,2,0,151.0,1,0,2,5,8,190,1,0,0,3,0
96,34.0,0,1,1,0,61.0,0,1,2,5,8,21,1,0,0,3,0
97,59.0,5,2,1,0,30.0,1,0,2,5,8,514,1,0,0,3,0
98,45.0,4,1,2,0,523.0,1,0,2,5,8,849,2,0,0,3,0
99,29.0,7,0,1,0,31.0,1,0,2,5,8,194,1,0,0,3,0
100,46.0,9,0,1,0,79.0,0,0,2,5,8,144,1,0,0,3,0
101,56.0,6,1,0,0,-34.0,1,1,2,5,8,212,2,0,0,3,0
102,36.0,1,1,0,0,448.0,1,0,2,5,8,286,1,0,0,3,0
103,59.0,5,0,0,0,81.0,1,0,2,5,8,107,1,0,0,3,0
104,44.0,1,1,1,0,144.0,1,0,2,5,8,247,2,0,0,3,0
105,41.0,0,1,1,0,351.0,1,0,2,5,8,518,1,0,0,3,0
106,33.0,4,2,2,0,-67.0,1,0,2,5,8,364,1,0,0,3,0
107,59.0,4,0,2,0,262.0,0,0,2,5,8,178,1,0,0,3,0
108,57.0,9,1,0,0,0.0,0,0,2,5,8,98,1,0,0,3,0
109,56.0,9,0,3,0,56.0,1,0,2,5,8,439,1,0,0,3,0
110,51.0,1,1,1,0,26.0,1,0,2,5,8,79,1,0,0,3,0
111,34.0,0,1,3,0,3.0,1,0,2,5,8,120,3,0,0,3,0
112,43.0,7,1,1,0,41.0,1,1,2,5,8,127,2,0,0,3,0
113,52.0,9,1,2,0,7.0,0,1,2,5,8,175,1,0,0,3,0
114,33.0,9,2,1,0,105.0,1,0,2,5,8,262,2,0,0,3,0
115,29.0,0,2,1,0,818.0,1,1,2,5,8,61,1,0,0,3,0
116,34.0,7,1,1,0,-16.0,1,1,2,5,8,78,1,0,0,3,0
117,31.0,1,1,1,0,0.0,1,0,2,5,8,143,1,0,0,3,0
118,55.0,7,1,1,0,2476.0,1,0,2,5,8,579,1,0,0,3,1
119,55.0,4,1,3,0,1185.0,0,0,2,5,8,677,1,0,0,3,0
120,32.0,0,2,1,0,217.0,1,0,2,5,8,345,1,0,0,3,0
121,38.0,9,2,1,0,1685.0,1,0,2,5,8,185,1,0,0,3,0
122,55.0,0,2,1,0,802.0,1,1,2,5,8,100,2,0,0,3,0
123,28.0,10,2,2,0,0.0,1,0,2,5,8,125,2,0,0,3,0
124,23.0,1,1,1,0,94.0,1,0,2,5,8,193,1,0,0,3,0
125,32.0,9,2,1,0,0.0,1,0,2,5,8,136,1,0,0,3,0
126,43.0,7,2,3,0,0.0,0,0,2,5,8,73,1,0,0,3,0
127,32.0,1,1,1,0,517.0,1,0,2,5,8,528,1,0,0,3,0
128,46.0,1,1,1,0,265.0,1,0,2,5,8,541,1,0,0,3,0
129,53.0,3,0,0,0,947.0,1,0,2,5,8,163,1,0,0,3,0
130,34.0,6,2,1,0,3.0,1,0,2,5,8,301,1,0,0,3,0
131,57.0,10,1,2,0,42.0,0,0,2,5,8,46,1,0,0,3,0
132,37.0,1,1,1,0,37.0,1,0,2,5,8,204,1,0,0,3,0
133,59.0,1,1,1,0,57.0,1,0,2,5,8,98,1,0,0,3,0
134,33.0,7,1,1,0,22.0,1,0,2,5,8,71,1,0,0,3,0
135,56.0,1,0,0,0,8.0,1,0,2,5,8,157,2,0,0,3,0
136,48.0,10,1,1,0,293.0,1,0,2,5,8,243,1,0,0,3,0
137,43.0,7,1,0,0,3.0,1,0,2,5,8,186,2,0,0,3,0
138,54.0,1,1,0,0,348.0,1,0,2,5,8,579,2,0,0,3,0
139,51.0,1,1,3,0,-19.0,1,0,2,5,8,163,2,0,0,3,0
140,26.0,8,2,1,0,0.0,1,0,2,5,8,610,2,0,0,3,0
141,40.0,4,1,2,0,-4.0,1,0,2,5,8,2033,1,0,0,3,0
142,39.0,4,1,1,0,18.0,1,0,2,5,8,85,1,0,0,3,0
143,50.0,9,1,0,0,139.0,0,0,2,5,8,114,2,0,0,3,0
144,41.0,7,1,1,0,0.0,1,0,2,5,8,114,2,0,0,3,0
145,51.0,1,1,3,0,1883.0,1,0,2,5,8,57,1,0,0,3,0
146,60.0,5,0,1,0,216.0,1,0,2,5,8,238,1,0,0,3,0
147,52.0,1,1,1,0,782.0,1,0,2,5,8,93,3,0,0,3,0
148,48.0,1,1,1,0,904.0,1,0,2,5,8,128,2,0,0,3,0
149,48.0,7,1,3,0,1705.0,1,0,2,5,8,107,1,0,0,3,0
150,39.0,9,2,2,0,47.0,1,0,2,5,8,181,1,0,0,3,0
151,47.0,7,2,1,0,176.0,1,0,2,5,8,303,2,0,0,3,0
152,40.0,1,1,1,0,1225.0,1,0,2,5,8,558,5,0,0,3,0
153,45.0,9,1,1,0,86.0,1,0,2,5,8,270,1,0,0,3,0
154,26.0,0,2,1,0,82.0,1,0,2,5,8,228,1,0,0,3,0
155,52.0,4,1,2,0,271.0,1,0,2,5,8,99,1,0,0,3,0
156,54.0,9,1,1,0,1378.0,1,0,2,5,8,240,1,0,0,3,0
157,54.0,0,1,2,0,184.0,0,0,2,5,8,673,2,0,0,3,1
158,50.0,1,1,0,0,0.0,0,0,2,5,8,233,3,0,0,3,0
159,35.0,1,1,1,0,0.0,1,0,2,5,8,1056,1,0,0,3,0
160,44.0,7,1,1,0,1357.0,1,1,2,5,8,250,1,0,0,3,0
161,53.0,2,1,3,0,19.0,1,0,2,5,8,252,1,0,0,3,0
162,35.0,5,2,0,0,434.0,0,0,2,5,8,138,1,0,0,3,0
163,60.0,0,0,1,0,92.0,1,0,2,5,8,130,1,0,0,3,0
164,53.0,0,0,1,0,1151.0,1,0,2,5,8,412,1,0,0,3,0
165,48.0,10,1,1,0,41.0,1,0,2,5,8,179,2,0,0,3,0
166,34.0,9,1,1,0,51.0,1,0,2,5,8,19,2,0,0,3,0
167,54.0,7,1,1,0,214.0,1,0,2,5,8,458,2,0,0,3,0
168,51.0,4,1,1,0,1161.0,1,0,2,5,8,717,1,0,0,3,0
169,31.0,7,1,2,0,37.0,1,0,2,5,8,313,1,0,0,3,0
170,35.0,9,0,1,0,787.0,1,0,2,5,8,683,2,0,0,3,0
171,35.0,7,1,1,0,59.0,1,0,2,5,8,1077,1,0,0,3,0
172,38.0,9,1,1,0,253.0,1,0,2,5,8,416,1,0,0,3,0
173,36.0,0,1,2,0,211.0,1,0,2,5,8,146,2,0,0,3,0
174,58.0,5,1,0,0,235.0,1,0,2,5,8,167,1,0,0,3,0
175,40.0,7,0,3,0,4384.0,1,0,2,5,8,315,1,0,0,3,0
176,54.0,4,1,1,0,4080.0,0,0,2,5,8,140,1,0,0,3,0
177,34.0,1,2,1,0,53.0,1,1,2,5,8,346,1,0,0,3,0
178,31.0,4,2,2,0,0.0,1,0,2,5,8,562,1,0,0,3,0
179,51.0,5,1,1,0,2127.0,1,0,2,5,8,172,1,0,0,3,0
180,33.0,4,1,2,0,377.0,1,0,2,5,8,217,1,0,0,3,0
181,55.0,4,1,2,0,73.0,1,0,2,5,8,142,2,0,0,3,0
182,42.0,0,1,1,0,445.0,1,0,2,5,8,67,1,0,0,3,0
183,34.0,1,1,1,0,243.0,1,0,2,5,8,291,1,0,0,3,0
184,33.0,1,2,1,0,307.0,1,0,2,5,8,309,2,0,0,3,0
185,38.0,7,1,1,0,155.0,1,0,2,5,8,248,1,0,0,3,0
186,50.0,9,0,2,0,173.0,0,1,2,5,8,98,1,0,0,3,0
187,43.0,4,1,2,0,400.0,1,0,2,5,8,256,1,0,0,3,0
188,61.0,1,0,0,0,1428.0,1,0,2,5,8,82,2,0,0,3,0
189,47.0,0,1,1,0,219.0,1,0,2,5,8,577,1,0,0,3,0
190,48.0,6,1,2,0,7.0,1,0,2,5,8,286,1,0,0,3,0
191,44.0,1,1,1,0,575.0,1,0,2,5,8,477,1,0,0,3,0
192,35.0,8,2,3,0,298.0,1,0,2,5,8,611,2,0,0,3,0
193,35.0,7,1,1,0,0.0,1,0,2,5,8,471,1,0,0,3,0
194,50.0,7,1,1,0,5699.0,1,0,2,5,8,381,2,0,0,3,0
195,41.0,4,1,2,0,176.0,1,1,2,5,8,42,1,0,0,3,0
196,41.0,4,1,2,0,517.0,1,0,2,5,8,251,1,0,0,3,0
197,39.0,7,2,3,0,257.0,1,0,2,5,8,408,1,0,0,3,0
198,42.0,5,1,1,0,56.0,1,0,2,5,8,215,1,0,0,3,0
199,38.0,1,1,1,0,-390.0,1,0,2,5,8,287,1,0,0,3,0
200,53.0,5,1,1,0,330.0,1,0,2,5,8,216,2,0,0,3,0
201,59.0,3,0,0,0,195.0,0,0,2,5,8,366,2,0,0,3,0
202,36.0,7,1,1,0,301.0,1,0,2,5,8,210,1,0,0,3,0
203,54.0,1,1,0,0,-41.0,1,0,2,5,8,288,1,0,0,3,0
204,40.0,9,1,2,0,483.0,1,0,2,5,8,168,1,0,0,3,0
205,47.0,11,1,3,0,28.0,0,0,2,5,8,338,2,0,0,3,0
206,53.0,10,1,3,0,13.0,0,0,2,5,8,410,3,0,0,3,0
207,46.0,3,1,0,0,965.0,0,0,2,5,8,177,1,0,0,3,0
208,39.0,4,1,2,0,378.0,1,1,2,5,8,127,2,0,0,3,0
209,40.0,10,1,1,0,219.0,1,0,2,5,8,357,1,0,0,3,0
210,28.0,1,1,0,0,324.0,1,0,2,5,8,175,1,0,0,3,0
211,35.0,2,0,1,0,-69.0,1,0,2,5,8,300,1,0,0,3,0
212,55.0,5,1,1,0,0.0,0,1,2,5,8,136,1,0,0,3,0
213,43.0,9,0,3,0,205.0,1,0,2,5,8,1419,1,0,0,3,0
214,48.0,1,1,0,0,278.0,1,0,2,5,8,125,2,0,0,3,0
215,58.0,4,1,3,0,1065.0,1,0,2,5,8,213,3,0,0,3,0
216,33.0,4,2,2,0,34.0,1,0,2,5,8,27,1,0,0,3,0
217,36.0,1,1,3,0,1033.0,0,0,2,5,8,238,2,0,0,3,0
218,53.0,7,0,1,0,1467.0,1,0,2,5,8,124,1,0,0,3,0
219,47.0,1,1,0,0,-12.0,1,0,2,5,8,18,1,0,0,3,0
220,31.0,7,1,1,0,388.0,1,0,2,5,8,730,2,0,0,3,0
221,57.0,2,1,1,0,294.0,1,0,2,5,8,746,2,0,0,3,0
222,53.0,1,1,3,0,1827.0,0,0,2,5,8,121,1,0,0,3,0
223,55.0,1,1,0,0,627.0,1,0,2,5,8,247,1,0,0,3,0
224,45.0,1,1,0,0,25.0,1,0,2,5,8,40,1,0,0,3,0
225,53.0,0,0,1,0,315.0,1,0,2,5,8,181,2,0,0,3,0
226,37.0,1,1,0,0,0.0,1,0,2,5,8,79,1,0,0,3,0
227,44.0,0,0,1,0,66.0,1,0,2,5,8,206,1,0,0,3,0
228,49.0,1,0,0,0,-9.0,1,1,2,5,8,389,1,0,0,3,0
229,46.0,9,1,1,0,349.0,1,1,2,5,8,127,1,0,0,3,0
230,43.0,2,1,3,0,100.0,1,0,2,5,8,702,1,0,0,3,0
231,38.0,0,1,1,0,0.0,0,0,2,5,8,151,1,0,0,3,0
232,43.0,9,1,1,0,434.0,1,0,2,5,8,117,1,0,0,3,0
233,49.0,4,1,2,0,3237.0,1,0,2,5,8,232,3,0,0,3,0
234,42.0,4,1,3,0,275.0,0,0,2,5,8,408,2,0,0,3,0
235,22.0,1,2,1,0,0.0,1,0,2,5,8,179,2,0,0,3,0
236,40.0,4,1,2,0,207.0,1,0,2,5,8,39,1,0,0,3,0
237,39.0,1,1,1,0,483.0,1,0,2,5,8,282,1,0,0,3,0
238,51.0,7,1,1,0,2248.0,1,0,2,5,8,714,2,0,0,3,0
239,49.0,0,1,1,0,428.0,1,0,2,5,8,50,1,0,0,3,0
240,53.0,1,1,1,0,0.0,1,1,2,5,8,181,1,0,0,3,0
241,34.0,7,2,1,0,0.0,1,0,2,5,8,142,1,0,0,3,0
242,33.0,9,0,1,0,140.0,1,0,2,5,8,227,1,0,0,3,0
243,50.0,4,2,2,0,297.0,1,0,2,5,8,119,1,0,0,3,0
244,39.0,1,1,0,0,279.0,1,0,2,5,8,361,1,0,0,3,0
245,59.0,2,0,1,0,901.0,1,0,2,5,8,73,3,0,0,3,0
246,30.0,9,2,1,0,2573.0,1,0,2,5,8,67,2,0,0,3,0
247,36.0,7,1,1,0,143.0,1,1,2,5,8,350,1,0,0,3,0
248,40.0,1,1,1,0,475.0,1,0,2,5,8,332,2,0,0,3,0
249,53.0,1,1,1,0,70.0,1,0,2,5,8,611,2,0,0,3,0
250,34.0,4,2,2,0,318.0,1,0,2,5,8,113,2,0,0,3,0
251,37.0,9,1,1,0,275.0,1,0,2,5,8,132,1,0,0,3,0
252,42.0,4,0,2,0,742.0,1,0,2,5,8,58,3,0,0,3,0
253,41.0,2,1,0,0,236.0,1,0,2,5,8,151,1,0,0,3,0
254,30.0,8,2,2,0,25.0,1,0,2,5,8,89,2,0,0,3,0
255,37.0,4,2,2,0,600.0,1,0,2,5,8,152,1,0,0,3,0
256,39.0,0,0,1,0,-349.0,1,0,2,5,8,611,2,0,0,3,0
257,41.0,1,1,0,0,183.0,1,1,2,5,8,110,2,0,0,3,0
258,40.0,1,1,0,0,0.0,1,0,2,5,8,463,1,0,0,3,0
259,42.0,4,2,2,0,0.0,1,1,2,5,8,562,2,0,0,3,1
260,40.0,1,0,0,0,0.0,1,0,2,5,8,962,1,0,0,3,0
261,57.0,9,1,1,0,1078.0,1,0,2,5,8,10,4,0,0,3,0
262,56.0,2,0,1,0,155.0,0,0,2,5,8,118,3,0,0,3,0
263,37.0,0,1,1,0,190.0,1,0,2,5,8,92,2,0,0,3,0
264,59.0,5,1,1,0,319.0,1,0,2,5,8,143,3,0,0,3,0
265,39.0,7,0,1,0,-185.0,1,0,2,5,8,189,3,0,0,3,0
266,49.0,7,1,1,0,47.0,0,0,2,5,8,234,2,0,0,3,0
267,38.0,7,2,1,0,570.0,1,0,2,5,8,75,2,0,0,3,0
268,36.0,6,1,2,0,19.0,0,0,2,5,8,189,2,0,0,3,0
269,50.0,1,1,0,0,61.0,1,0,2,5,8,621,3,0,0,3,0
270,41.0,0,1,1,0,-62.0,1,1,2,5,8,55,2,0,0,3,0
271,54.0,9,1,2,0,258.0,0,0,2,5,8,310,4,0,0,3,0
272,58.0,1,1,0,0,76.0,1,0,2,5,8,156,2,0,0,3,0
273,30.0,1,2,1,0,0.0,1,0,2,5,8,5,2,0,0,3,0
274,33.0,0,2,1,0,352.0,1,0,2,5,8,225,2,0,0,3,0
275,47.0,0,1,1,0,368.0,1,0,2,5,8,125,2,0,0,3,0
276,50.0,9,2,2,0,339.0,1,0,2,5,8,2,3,0,0,3,0
277,32.0,1,1,1,0,1331.0,1,0,2,5,8,286,2,0,0,3,0
278,40.0,6,1,1,0,672.0,1,0,2,5,8,164,2,0,0,3,0
279,37.0,4,1,2,0,58.0,1,0,2,5,8,98,2,0,0,3,0
280,54.0,9,2,3,0,447.0,1,0,2,5,8,742,2,0,0,3,0
281,24.0,8,2,1,0,423.0,1,0,2,5,8,226,3,0,0,3,0
282,54.0,4,1,2,0,0.0,0,0,2,5,8,120,2,0,0,3,0
283,34.0,9,1,1,0,19.0,1,0,2,5,8,362,4,0,0,3,0
284,56.0,9,0,0,0,13.0,1,0,2,5,8,357,2,0,0,3,0
285,31.0,1,2,1,0,3.0,1,0,2,5,8,200,2,0,0,3,0
286,24.0,8,2,1,0,82.0,1,0,2,5,8,204,2,0,0,3,0
287,42.0,1,0,0,0,28.0,1,0,2,5,8,126,3,0,0,3,0
288,57.0,9,1,1,0,792.0,1,0,2,5,8,65,2,0,0,3,0
289,42.0,1,1,3,0,408.0,1,0,2,5,8,107,2,0,0,3,0
290,51.0,0,1,1,0,531.0,1,0,2,5,8,267,2,0,0,3,0
291,57.0,5,1,1,0,211.0,1,0,2,5,8,248,2,0,0,3,0
292,36.0,7,2,1,0,62.0,1,0,2,5,8,215,2,0,0,3,0
293,53.0,7,1,3,0,257.0,1,0,2,5,8,209,2,0,0,3,0
294,50.0,9,1,1,0,1234.0,1,0,2,5,8,205,2,0,0,3,0
295,54.0,4,1,2,0,313.0,1,0,2,5,8,83,2,0,0,3,0
296,55.0,1,1,1,0,89.0,1,0,2,5,8,106,3,0,0,3,0
297,44.0,1,1,1,0,129.0,1,1,2,5,8,189,2,0,0,3,0
298,43.0,4,1,3,0,0.0,1,0,2,5,8,105,2,0,0,3,0
299,56.0,0,1,1,0,353.0,1,0,2,5,8,106,2,0,0,3,0
300,54.0,9,1,3,0,851.0,1,0,2,5,8,108,2,0,0,3,0
301,55.0,7,0,0,0,96.0,1,1,2,5,8,311,2,0,0,3,0
302,37.0,7,0,1,0,398.0,1,1,2,5,8,214,2,0,0,3,0
303,33.0,0,2,2,0,193.0,0,0,2,5,8,132,2,0,0,3,0
304,46.0,0,1,1,0,-358.0,1,0,2,5,8,358,2,0,0,3,0
305,36.0,1,1,1,0,539.0,1,1,2,5,8,453,2,0,0,3,0
306,51.0,9,2,1,0,0.0,1,0,2,5,8,364,2,0,0,3,0
307,40.0,5,2,0,0,0.0,0,0,2,5,8,136,2,0,0,3,0
308,42.0,1,1,1,0,490.0,1,0,2,5,8,386,2,0,0,3,0
309,51.0,1,1,1,0,0.0,1,0,2,5,8,173,2,0,0,3,0
310,49.0,1,1,3,0,403.0,1,0,2,5,8,241,2,0,0,3,0
311,48.0,4,1,1,0,161.0,1,0,2,5,8,224,3,0,0,3,0
312,32.0,9,0,2,0,2558.0,0,0,2,5,8,148,2,0,0,3,0
313,31.0,0,2,1,0,98.0,1,0,2,5,8,196,2,0,0,3,0
314,55.0,4,2,2,0,115.0,0,0,2,5,8,111,4,0,0,3,0
315,40.0,1,2,1,0,436.0,1,0,2,5,8,231,3,0,0,3,0
316,47.0,9,1,2,0,831.0,1,0,2,5,8,316,3,0,0,3,0
317,57.0,9,1,3,0,206.0,1,0,2,5,8,216,3,0,0,3,0
318,41.0,1,1,1,0,290.0,1,0,2,5,8,240,2,0,0,3,0
319,48.0,1,1,1,0,1.0,0,0,2,5,8,669,3,0,0,3,0
320,42.0,1,1,3,0,57.0,1,0,2,5,8,425,2,0,0,3,0
321,30.0,1,2,1,0,-457.0,1,0,2,5,8,143,2,0,0,3,0
322,58.0,4,2,2,0,1387.0,1,0,2,5,8,174,5,0,0,3,0
323,45.0,4,0,2,0,24598.0,1,0,2,5,8,313,3,0,0,3,0
324,49.0,1,1,1,0,30.0,1,0,2,5,8,135,4,0,0,3,0
325,42.0,0,2,1,0,1022.0,1,0,2,5,8,146,2,0,0,3,0
326,53.0,9,1,1,0,56.0,1,1,2,5,8,152,2,0,0,3,0
327,51.0,0,2,1,1,-2.0,0,0,2,5,8,402,3,0,0,3,0
328,32.0,7,2,1,0,121.0,1,0,2,5,8,213,2,0,0,3,0
329,41.0,1,2,1,0,842.0,1,0,2,5,8,144,3,0,0,3,0
330,43.0,4,0,1,0,693.0,1,0,2,5,8,124,3,0,0,3,0
331,40.0,1,0,1,0,-333.0,1,0,2,5,8,183,2,0,0,3,0
332,50.0,1,1,0,0,1533.0,1,0,2,5,8,325,2,0,0,3,0
333,34.0,4,1,2,0,46.0,1,0,2,5,8,39,4,0,0,3,0
334,53.0,7,1,3,0,18.0,0,0,2,5,8,503,2,0,0,3,0
335,45.0,9,1,1,0,44.0,1,0,2,5,8,95,4,0,0,3,0
336,39.0,1,1,0,0,-100.0,1,0,2,5,8,680,2,0,0,3,0
337,44.0,7,1,2,0,510.0,1,0,2,5,8,421,4,0,0,3,0
338,55.0,4,1,2,0,685.0,1,0,2,5,8,174,3,0,0,3,0
339,46.0,4,2,2,0,187.0,1,0,2,5,8,113,2,0,0,3,0
340,45.0,1,1,1,0,66.0,1,0,2,5,8,808,2,0,0,3,0
341,34.0,0,1,1,0,560.0,1,0,2,5,8,198,3,0,0,3,0
342,36.0,1,1,1,0,0.0,1,0,2,5,8,195,2,0,0,3,0
343,59.0,11,0,3,0,27.0,0,0,2,5,8,347,3,0,0,3,0
344,31.0,0,2,1,0,12.0,1,0,2,5,8,208,2,0,0,3,0
